Name,Md5,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsLength,SectionMeanEntropy,SectionMinEntropy,SectionMaxEntropy,SectionMeanRawsize,SectionMinRawsize,SectionMaxRawsize,SectionMeanVirtualsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMeanPhysical,SectionMinPhysical,SectionMaxPhysical,SectionMeanVirtualAddress,SectionMinVirtualAddress,SectionMaxVirtualAddress,SectionMeanPointerData,SectionMinPointerData,SectionMaxPointerData,SectionMeanChar,SectionMinChar,SectionMaxChar,SizeImageDirectoryEntryExport,RVAImageDirectoryEntryExport,SizeImageDirectoryEntryImport,RVAImageDirectoryEntryImport,SizeImageDirectoryEntryResource,RVAImageDirectoryEntryResource,SizeImageDirectoryEntryException,RVAImageDirectoryEntryException,SizeImageDirectoryEntrySecurity,RVAImageDirectoryEntrySecurity,SumImportFunction,SumImportFunctionMethod
VirusShare_87e7443b671b0422caa6aa81175f28c9,87e7443b671b0422caa6aa81175f28c9,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,216,34404,5,1306431611,0,0,240,35,523,9,0,40960,9728,0,7792,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,65536,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.273233320008068,1.3631108828220078,6.945292115643532,10137.6,1024,40960,9966.4,576,40924,9966.4,576,40924,44236.8,4096,61440,37478.4,1024,49152,1610612793.6,1073741888,3221225536,0,0,100,48064,2560,61440,576,57344,0,0,4,73
VirusShare_93c19feed3dc74df766f41ec67c5e9b4,93c19feed3dc74df766f41ec67c5e9b4,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,5,1224754973,0,0,240,35,523,8,0,212480,168448,0,1074123741,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,802816,1024,428857,2,32768,1048576,4096,1048576,4096,0,16,5,3.938493597476726,0.0,6.295920748259005,76185.6,12288,212480,80794.6,15720,212283,80794.6,15720,212283,234291.2,4096,339968,751838617.6,1024,3758405120,1610612793.6,1073741888,3221225536,0,0,220,276240,72860,339968,15720,323584,0,0,10,288
VirusShare_96b30e3c9fb8fccf794a7ba40c6051c0,96b30e3c9fb8fccf794a7ba40c6051c0,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1159442346,0,0,240,35,523,8,0,308224,180224,0,1074231261,4096,0,4194304,4096,512,4,0,0,0,5,2,0,1019904,1024,546476,2,32768,1048576,4096,1048576,4096,0,16,5,4.057497251398832,0.0,6.327475755473458,97689.6,14336,308224,102483.6,23640,308120,102483.6,23640,308120,343244.8,4096,495616,751945318.4,1024,3758557184,1610612793.6,1073741888,3221225536,0,0,260,418552,28424,495616,23640,471040,0,0,12,365
VirusShare_678c155ab6ded113732106f1e77594f1,678c155ab6ded113732106f1e77594f1,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1299587833,0,0,240,34,523,10,0,53760,383488,0,50000,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,462848,1024,497815,2,33088,524288,8192,1048576,4096,0,16,5,4.793667985841823,0.21776995545804625,7.750109172443454,87449.6,512,379392,89294.4,324,380928,89294.4,324,380928,135168.0,4096,458752,121753.6,1024,437760,1617323680.0,1073741888,3221225536,0,0,160,53616,379064,77824,1404,73728,0,0,7,154
VirusShare_095df20ced77e89ab1ff0c01b490f622,095df20ced77e89ab1ff0c01b490f622,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,5,1296209639,0,0,240,34,523,9,0,6144,2199040,0,5220,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,2224128,1024,2214561,2,32832,524288,8192,1048576,4096,0,16,5,3.3331468425808297,0.11836963125913882,7.999266855083986,441036.8,512,2197504,441034.4,60,2197008,441034.4,60,2197008,454656.0,4096,2220032,445952.0,1024,2205696,1617323680.0,1073741888,3221225536,0,0,80,8920,2197008,20480,300,16384,6032,2206208,3,44
VirusShare_88d67a43d0a595f20e91e021b94b59fa,88d67a43d0a595f20e91e021b94b59fa,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1109130135,0,0,240,47,523,8,0,73728,90112,0,1073896413,4096,0,4194304,4096,512,4,0,0,0,5,2,0,335872,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,3.5339402417796206,0.0,6.034727191270709,30720.0,5632,73728,32518.6,5484,73629,32518.6,5484,73629,86016.0,4096,126976,751697408.0,1024,3758206976,1610612793.6,1073741888,3221225536,0,0,80,100084,43784,126976,5484,118784,0,0,3,72
VirusShare_109bf42d3a6c45ed704bf0c62bcf7b89,109bf42d3a6c45ed704bf0c62bcf7b89,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1360002389,0,0,240,34,523,10,10,8704,466432,0,5160,4096,0,5368709120,4096,512,6,2,6,2,5,2,0,495616,1024,536136,2,33120,524288,8192,1048576,4096,0,16,5,3.4975609485519112,0.15517757530476972,7.996886200971832,95027.2,512,464896,94988.0,72,464428,94988.0,72,464428,111411.2,4096,491520,101478.4,1024,475648,1617323680.0,1073741888,3221225536,0,0,80,10980,464428,24576,408,20480,15432,476160,3,50
VirusShare_097c051268fc5929773a9c3cff788c1c,097c051268fc5929773a9c3cff788c1c,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,6,1339248009,0,0,240,34,523,9,0,73216,58880,0,1073849553,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,290816,1024,0,2,33088,1048576,4096,1048576,4096,0,16,6,3.910500758611713,0.0,6.3522153641764865,22016.0,1536,73216,27386.33333333333,1270,72960,27386.33333333333,1270,72960,107861.33333333331,4096,172032,626435754.6666666,1024,3758227968,1526726714.6666667,1073741888,3221225536,0,0,140,97268,22624,147456,3624,143360,0,0,6,153
VirusShare_85b499d1b73b7c4728c577410b47b752,85b499d1b73b7c4728c577410b47b752,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1258569974,0,0,240,35,523,8,0,310784,135168,0,168368,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,466944,1024,470597,2,32768,1048576,4096,1048576,4096,0,16,5,1.2356211221798912,0.0,6.178105610899456,89190.4,1536,310784,91424.8,1468,310456,91424.8,1468,310456,330956.8,4096,462848,321843.2,1024,445440,1610612793.6,1073741888,3221225536,0,0,180,419140,1468,462848,15924,446464,0,0,0,0
VirusShare_709e6924c2a02282fef00663bd1f7ad8,709e6924c2a02282fef00663bd1f7ad8,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,208,34404,5,1125152394,0,0,240,35,523,8,0,99840,49664,0,15312,4096,0,4194304,4096,512,4,0,0,0,5,2,0,163840,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,3.7110671395717176,1.752528790913075,5.311634914613559,28876.8,4608,99840,29585.6,4295,99493,29585.6,4295,99493,109772.8,4096,155648,101273.6,1024,140800,2040109523.2,1073741888,3221225536,0,0,80,155648,0,0,5448,147456,0,0,3,87
VirusShare_90aa2cc39e10ce43f7f31e90961f0b5e,90aa2cc39e10ce43f7f31e90961f0b5e,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,7,1245061655,0,0,240,34,523,9,0,47104,153600,0,217088,4096,0,4294967296,4096,512,6,1,6,1,6,1,0,221184,1536,0,2,33088,524288,69632,1048576,4096,0,16,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,300,53240,127328,81920,1716,77824,0,0,0,0
VirusShare_89aa9cf40eea5af42a3f98e606990f1c,89aa9cf40eea5af42a3f98e606990f1c,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,5,1256021938,0,0,240,35,523,8,0,1590272,6708224,0,1459328,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,8339456,1024,8324974,2,32768,1048576,4096,1048576,4096,0,16,5,5.572374190068165,4.104970749107149,6.865453570326897,1659699.2,46592,6031872,1664585.4,72368,6031692,1664585.4,72368,6031692,1643315.2,4096,2306048,1624473.6,1024,2267648,1610612793.6,1073741888,3221225536,0,0,440,2098928,6031692,2306048,112728,2191360,6688,8299520,21,544
VirusShare_84b153c0f074e4286be1bd704c20cd50,84b153c0f074e4286be1bd704c20cd50,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1258695493,0,0,240,35,523,9,0,4608,19456,0,1073772357,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,81920,1024,49395,2,32768,1048576,4096,1048576,4096,0,16,5,3.0906920725717684,0.0,6.188122223553691,4812.8,512,11264,4885.0,372,11016,4885.0,372,11016,20480.0,4096,32768,751631052.8,1024,3758114304,1610612793.6,1073741888,3221225536,0,0,160,20108,7024,32768,372,28672,5480,25088,7,81
VirusShare_91cb657385df8f51876f5e1fd88f0352,91cb657385df8f51876f5e1fd88f0352,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1247529507,0,0,240,34,523,9,0,55296,402432,0,51656,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,483328,1024,488234,2,32832,524288,8192,1048576,4096,0,16,5,4.809373125079643,0.20134432838821048,7.831029892135531,91545.6,512,398336,93624.0,324,401408,93624.0,324,401408,139264.0,4096,479232,126771.2,1024,458240,1617323680.0,1073741888,3221225536,0,0,160,54832,398296,77824,1404,73728,0,0,7,152
VirusShare_83f306dad45143effc639943d8d5bbe3,83f306dad45143effc639943d8d5bbe3,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,10,1292291748,0,0,240,34,523,8,0,1512960,272896,0,1789960,4096,0,65536,4096,512,6,0,6,0,6,0,0,1810432,1024,1839019,1,0,262144,4096,1048576,4096,0,16,10,2.6040263933765666,0.0,6.412793217284435,178329.6,512,1458688,178241.0,224,1458332,178241.0,224,1458332,1473740.8,4096,1798144,1459200.0,1024,1772544,1875692796.8,1107296320,3791650848,0,0,60,1790052,896,1794048,50352,1736704,6776,1784320,0,0
VirusShare_137d7b025ad99a60024dfed7e8b8b101,137d7b025ad99a60024dfed7e8b8b101,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1213260680,0,0,240,35,523,8,0,176128,182272,0,77616,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,368640,1024,380602,2,32768,1048576,4096,1048576,4096,0,16,5,4.873902920789248,3.0663115802715653,6.3973729425980075,68608.0,7168,176128,71491.6,9432,176122,71491.6,9432,176122,184320.0,4096,262144,173465.6,1024,238592,1610612793.6,1073741888,3221225536,0,0,140,220052,105368,262144,9432,249856,6656,344064,6,165
